fold,epoch,val_r2,val_tac,persistence_tac,spatial_anom_r2,mae,crps,mse_skill_vs_persistence
0,10,0.5805584192276001,0.12465253962729231,0.05929531055267804,0.558946346802536,0.48278123140335083,0.48278123140335083,0.5246354178174857
1,10,0.5959745645523071,0.1291869830660079,0.1060258108204409,0.5742664415406236,0.4958997070789337,0.4958997070789337,0.5116826083894788
2,5,0.5896159410476685,0.05039624211600222,0.03733012421257449,0.5786771187770263,0.48357492685317993,0.48357492685317993,0.5243592632939873
3,10,0.5829207897186279,0.12864183474031468,0.06314706996912331,0.5702613577630754,0.5012496709823608,0.5012496709823608,0.5155806304242656
4,5,0.604368269443512,0.144974748160975,0.04468374483336821,0.5825887068687767,0.48566970229148865,0.48566970229148865,0.5306351033283166
