month,n_samples,tac,persistence_tac,mean_sample_r2,mean_sample_mae
5,86,0.027321832254529,0.050974708050489426,0.38632758889886654,0.6172927717679643
6,1290,0.08391664177179337,0.08898788690567017,0.4981439686942975,0.5229637441561681
7,1333,0.08616432547569275,0.11606920510530472,0.5176047134579574,0.4299665412022034
8,1333,0.09631388634443283,0.13663063943386078,0.5152711113604684,0.4350745242308655
9,1290,0.08931448310613632,0.03586437925696373,0.42104363186219484,0.5764586301696143
